CODGEO;PMIMP;DECUC_Q2;DECUC_Q1;DECUC_Q3;BREV;DECUC_D1;DECUC_D9;DECUC_D1D9;DISP_Q2;DISP_Q1;DISP_Q3;TP60;DISP_D1;DISP_D9;DISP_D1D9;PACT;PPEN;PPSOC;PIMPOT;PPAT;NOTE_FILO;C;CC2S;NOTE_CNAM;A;APPA;ARSAS;AAAH;NOTE_CNAF
QP094022;31,4;12020;7170;18120;54,2;3090;25380;8,2;14760;11390;19090;32,4;8270;24130;2,9;71,8;19,5;17,5;-10,9;2,1;0;2233;440;0;670;221;138;49;0
QP094023;34,7;13020;7780;19890;48,3;2050;27280;13,3;15200;11260;20100;34;9050;25840;2,9;71,1;21,9;16,2;-11;1,8;0;1069;219;0;294;99;61;36;0
QP094024;32;12100;6840;18010;53,9;2720;24930;9,2;14650;10920;18980;36,1;8030;23890;3;70,3;20,8;17,4;-10,7;2,2;0;4146;740;0;1236;396;275;121;0
QP094025;;8190;4420;15930;70;630;25530;40,7;9620;5900;16930;66,3;3940;24260;6,2;84,6;10,1;15,1;-11,1;1,3;0;481;61;0;174;34;52;17;0
QP094026;27,4;11840;7350;17510;54,3;3130;23250;7,4;14840;11250;18540;33,1;8940;22740;2,5;70,6;19,3;18,6;-10,1;1,6;0;4851;942;0;1404;467;325;122;0
QP094027;30,1;11520;7080;17480;55,3;3060;23860;7,8;14470;11080;18510;37,5;8550;23160;2,7;71,3;18,3;18,9;-10,4;1,9;0;12062;2243;0;3352;1136;817;322;0
QP094028;29,9;11170;6220;19100;55,4;2670;27540;10,3;14030;10540;19590;39;7580;26490;3,5;74,6;16,2;19;-11,6;1,8;0;1916;369;0;664;191;147;62;0
QP094029;27,9;11270;6240;17950;54,8;1410;25210;17,9;13880;10320;18640;43,9;7890;24320;3,1;70,4;19,9;18,2;-10,5;2;0;1316;259;0;358;123;88;28;0
QP094030;36,7;12760;7570;19360;49,2;3220;26820;8,3;15340;11930;19790;28,6;9240;25440;2,8;74,9;18;16,5;-11,6;2,2;0;2258;311;0;577;163;124;48;0
QP094031;35;13450;8020;19740;46,1;3460;26260;7,6;15790;12120;20270;29,1;9170;25240;2,8;74,4;18,2;16,4;-11,1;2,1;0;6486;1084;0;2031;557;374;200;0
QP094032;34,1;11560;6800;18160;55;2980;25190;8,5;14380;11010;19150;37,8;8510;24290;2,9;74,6;15,5;18,5;-10,8;2,2;0;2522;571;0;701;197;164;69;0
